iter	Logloss
0	0.682208033
1	0.6701892493
2	0.658206887
3	0.6477443579
4	0.6358579336
5	0.6268188245
6	0.615704396
7	0.6067152474
8	0.5951291904
9	0.586345988
10	0.5766763848
11	0.5668564836
12	0.5578108411
13	0.5492647274
14	0.5411062351
15	0.5330370482
16	0.5257171331
17	0.5179772149
18	0.5092588368
19	0.5019062855
20	0.4952973056
21	0.4871604803
22	0.4798459888
23	0.4735336648
24	0.4660208451
25	0.4584790091
26	0.4506967714
27	0.4440845396
28	0.4370658248
29	0.4295600001
30	0.4222074684
31	0.416823314
32	0.4109534866
33	0.4049897251
34	0.3984296805
35	0.3926232629
36	0.3866447746
37	0.3812486443
38	0.375804718
39	0.3703946154
40	0.3650121119
41	0.3594268473
42	0.3539392518
43	0.3494406492
44	0.3450532922
45	0.3404771173
46	0.3358084642
47	0.3310736563
48	0.3265483627
49	0.3229140485
50	0.3178259531
51	0.3135929079
52	0.3095947643
53	0.3054482777
54	0.3014183038
55	0.2972711845
56	0.2936240651
57	0.2896703934
58	0.2858114307
59	0.281937133
60	0.2778351214
61	0.2742405515
62	0.2707019015
63	0.2671787555
64	0.2640122208
65	0.2612496088
66	0.2575146868
67	0.2539271588
68	0.2504138394
69	0.2478600135
70	0.2445170348
71	0.2418345126
72	0.2387379054
73	0.2357945851
74	0.2329729699
75	0.2306740119
76	0.227963271
77	0.2250744345
78	0.222227118
79	0.2201131134
80	0.2173969389
81	0.2148880256
82	0.2123951558
83	0.2103094468
84	0.2087907341
85	0.2062966837
86	0.204186249
87	0.2020032723
88	0.1999271243
89	0.198002962
90	0.1958861878
91	0.194235116
92	0.1920917186
93	0.190572545
94	0.1886503827
95	0.18649826
96	0.1849256256
97	0.1827135589
98	0.1806588474
99	0.1784596372
100	0.1763982322
101	0.174667513
102	0.173227187
103	0.1711303315
104	0.1694124937
105	0.1677508095
106	0.1658509946
107	0.1645868338
108	0.1632181063
109	0.1615326633
110	0.1599819134
111	0.1586315836
112	0.1568241119
113	0.1552475434
114	0.1542032011
115	0.1528775364
116	0.1514373399
117	0.1502420981
118	0.1487836489
119	0.1475463534
120	0.1461561546
121	0.144784711
122	0.1438536251
123	0.1426006236
124	0.1415944498
125	0.1402946265
126	0.1389776853
127	0.1380596929
128	0.1365497461
129	0.1353045579
130	0.1340243866
131	0.1325983223
132	0.1315499809
133	0.1306040258
134	0.1295527332
135	0.1289268473
136	0.1279752184
137	0.1268628317
138	0.1257267881
139	0.1246790344
140	0.1235071392
141	0.1225761715
142	0.1217568274
143	0.1208501412
144	0.1200395202
145	0.1192516212
146	0.1182668429
147	0.1174269839
148	0.1168758707
149	0.1161364388
150	0.1150715147
151	0.1142760727
152	0.1135774261
153	0.1128265635
154	0.111933207
155	0.1110818687
156	0.110374234
157	0.1095737806
158	0.1089168035
159	0.1082774301
160	0.1076272357
161	0.1067690087
162	0.1061291058
163	0.1051626085
164	0.1044572628
165	0.1037687019
166	0.1032082642
167	0.1025876669
168	0.101883916
169	0.1012392463
170	0.1006729042
171	0.09977290237
172	0.09924771969
173	0.09845542436
174	0.09793418214
175	0.0973170139
176	0.0965507172
177	0.09580147031
178	0.09538147214
179	0.09480369694
180	0.09414350384
181	0.0934205333
182	0.09284863524
183	0.0922198741
184	0.09135612917
185	0.09100104793
186	0.09035251586
187	0.08994021154
188	0.08934124276
189	0.08882903581
190	0.08821078657
191	0.08777610077
192	0.08739226415
193	0.0869845799
194	0.08651367596
195	0.08603161456
196	0.08547683286
197	0.08491069354
198	0.08449054865
199	0.08397002063
200	0.0833990794
201	0.08304070483
202	0.08247943815
203	0.08205593287
204	0.08179210778
205	0.08116546725
206	0.08064206773
207	0.08024173464
208	0.079837066
209	0.07937175258
210	0.07886318898
211	0.07839035359
212	0.07788473014
213	0.07739399344
214	0.07700360005
215	0.07658790022
216	0.07609099399
217	0.07568033501
218	0.07535144942
219	0.07492033885
220	0.07453148915
221	0.0739520314
222	0.07347767484
223	0.07303452544
224	0.07255399725
225	0.07224431824
226	0.07185750584
227	0.07140481446
228	0.07099947615
229	0.07057377585
230	0.07028295391
231	0.06985237729
232	0.06951356668
233	0.06910229725
234	0.0687736747
235	0.06846479846
236	0.06805607984
237	0.06765610569
238	0.06720173123
239	0.06693591914
240	0.0666634523
241	0.06646397612
242	0.06604308139
243	0.06570779413
244	0.06548238691
245	0.06518540487
246	0.06479980605
247	0.06459317155
248	0.06430688952
249	0.06406582528
250	0.06381974797
251	0.06359898756
252	0.06332597733
253	0.06312104372
254	0.06278373069
255	0.06249645621
256	0.06226747062
257	0.06195993633
258	0.06166555908
259	0.06142732966
260	0.0612054327
261	0.06090433938
262	0.06072569994
263	0.06037293633
264	0.06018956415
265	0.05993700027
266	0.05972754772
267	0.05942092099
268	0.05914848768
269	0.05884702232
270	0.05846721366
271	0.05813389663
272	0.05797774399
273	0.0576381196
274	0.05745378955
275	0.0570973695
276	0.05677328896
277	0.05656672886
278	0.0563198687
279	0.05604651158
280	0.05583393338
281	0.05556778122
282	0.05536020771
283	0.05515438122
284	0.05487127933
285	0.05462240177
286	0.05435052494
287	0.054159832
288	0.05392960559
289	0.05364158023
290	0.05338851384
291	0.05318847698
292	0.05299847991
293	0.05268472944
294	0.05244173375
295	0.05225519977
296	0.05209249717
297	0.0519472751
298	0.05178134206
299	0.05151990639
300	0.05129108848
301	0.05106464166
302	0.05092171837
303	0.05070537368
304	0.05040964713
305	0.0501341453
306	0.04991554638
307	0.04976012157
308	0.04951021855
309	0.04934397006
310	0.0491224247
311	0.04895380513
312	0.04880814448
313	0.048632343
314	0.04846719124
315	0.04827068402
316	0.04808851651
317	0.04793258971
318	0.04777767056
319	0.04758261429
320	0.04736397397
321	0.04720773906
322	0.0470118748
323	0.04687774312
324	0.04670109958
325	0.04651799464
326	0.04635504681
327	0.04614446713
328	0.04596702869
329	0.045812731
330	0.045613619
331	0.04536582035
332	0.04521140057
333	0.04499184849
334	0.04476490021
335	0.04457020707
336	0.04449517072
337	0.044367043
338	0.04423162073
339	0.04401797148
340	0.04388287618
341	0.04369894541
342	0.04355836963
343	0.04335316983
344	0.04321806876
345	0.0431230435
346	0.04298280307
347	0.04286884109
348	0.04270086812
349	0.04259594404
350	0.04246436004
351	0.04229639179
352	0.04210496578
353	0.0420138118
354	0.04183149338
355	0.0416681515
356	0.04148081633
357	0.04135792806
358	0.04118519563
359	0.04104024814
360	0.04085320483
361	0.0406818348
362	0.04047661509
363	0.04034369752
364	0.04022722244
365	0.04009901508
366	0.03992835716
367	0.03983180759
368	0.03971943331
369	0.03955313242
370	0.03937646268
371	0.03924622745
372	0.0391199332
373	0.03905040301
374	0.03893136349
375	0.0388013038
376	0.03868033388
377	0.03851683061
378	0.03842421469
379	0.03830126616
380	0.03816669118
381	0.03801509889
382	0.03793523076
383	0.03779385168
384	0.03765480702
385	0.03751827544
386	0.03732861529
387	0.03723947661
388	0.03708454331
389	0.03699638346
390	0.0368648309
391	0.03674579977
392	0.03663804976
393	0.03655915942
394	0.03641134147
395	0.036304422
396	0.03618208655
397	0.03605418624
398	0.03595356941
399	0.03587943853
400	0.03579112462
401	0.03568112143
402	0.03560079271
403	0.03554408943
404	0.03536345618
405	0.03525310715
406	0.03516598586
407	0.03503828101
408	0.03487228718
409	0.03473783011
410	0.03457250647
411	0.03448314248
412	0.03438660391
413	0.03419468429
414	0.03409521134
415	0.03397018307
416	0.03390569739
417	0.03377195872
418	0.03363815926
419	0.03353578494
420	0.03339340975
421	0.03328548578
422	0.03318260423
423	0.03304702633
424	0.03291889914
425	0.03278684668
426	0.03271105368
427	0.0325725896
428	0.03241123944
429	0.03231426229
430	0.03220560944
431	0.03209590755
432	0.03200497365
433	0.03192436721
434	0.03183548372
435	0.03175784153
436	0.03161915056
437	0.03152133973
438	0.03144150042
